Player,Tkl,Ast,Comb,Sack,Sk Yds,TFL,QH,Int,PD,FF,FR,Tkl,Ast,FF,FR,BL,Tkl,Ast,FF,FR,TKLr,TKLp,ASTr,ASTp,TFLr,TFLp
Donovan Wilson,75,24,99,5,35,7,9,1,2,2,1,2,-,-,-,-,-,-,-,-,46,29,17,7,3,4
Leighton Vander Esch,54,36,90,1,4,4,1,-,1,1,-,-,-,-,-,-,-,-,-,-,33,21,25,11,2,2
Jayron Kearse,55,22,77,2,12,7,2,1,5,1,2,-,-,-,-,-,-,-,-,-,23,32,17,5,4,3
Demarcus Lawrence,43,22,65,6,35,9,13,-,3,3,2,-,-,-,-,-,-,-,-,-,34,9,19,3,4,5
Micah Parsons,42,23,65,13.5,88.5,14,27,-,3,3,3,-,-,-,-,-,-,-,-,-,21,21,20,3,4,10
Malik Hooker,44,18,62,-,-,2,-,3,3,-,1,-,-,-,-,-,-,-,-,-,22,22,11,7,1,1
Trevon Diggs,50,9,59,-,-,-,-,3,14,-,1,-,-,-,-,-,-,-,-,-,16,34,5,4,-,-
Anthony Barr,35,23,58,1,9,2,4,-,1,-,2,-,-,-,-,-,-,-,-,-,19,16,14,9,-,2
Daron Bland,36,16,52,-,-,1,2,5,7,-,-,2,-,-,-,-,-,-,-,-,7,29,11,5,-,1
Damone Clark,27,17,44,-,-,1,-,-,-,2,-,2,1,-,-,-,-,-,-,-,17,10,15,2,1,-
Osa Odighizuwa,27,16,43,4,27,8,11,-,-,1,-,-,-,-,-,-,-,-,-,-,23,4,15,1,5,3
Anthony Brown,33,9,42,-,-,1,-,-,7,1,-,-,-,-,-,-,-,-,-,-,6,27,2,7,-,1
Dorance Armstrong,17,16,33,8.5,55.5,9,15,-,-,1,2,-,-,-,-,2,-,-,-,-,9,8,11,5,2,7
Neville Gallimore,16,17,33,1,9,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,15,1,15,2,1,1
Dante Fowler,22,5,27,6,49,7,9,-,2,2,-,-,-,-,-,-,-,-,-,-,12,10,4,1,2,5
Jourdan Lewis,17,9,26,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,4,13,2,7,-,-
Carlos Watkins,13,13,26,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,12,1,13,-,2,-
Nahshon Wright,16,6,22,-,-,1,-,1,4,-,-,1,-,-,-,-,-,-,-,-,3,13,2,4,1,-
Sam Williams,15,7,22,4,26,10,9,-,1,1,3,-,-,-,-,-,-,-,-,-,10,5,7,-,7,3
Chauncey Golston,13,9,22,1,2,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,12,1,9,-,1,1
Quinton Bohanna,7,12,19,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,12,-,1,-
Israel Mukuamu,10,5,15,-,-,-,1,1,1,-,-,2,-,-,-,-,-,-,-,-,3,7,4,1,-,-
Kelvin Joseph,11,2,13,-,-,-,-,-,2,1,-,6,1,-,-,-,-,-,-,-,3,8,-,2,-,-
Johnathan Hankins,7,3,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,3,-,1,-
Trysten Hill,5,1,6,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,2,-
Luke Gifford,3,2,5,-,-,-,-,-,-,-,-,8,4,1,1,-,-,-,-,-,2,-,1,1,-,-
Tyler Coyle,4,0,4,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,2,-,-,-,-
Jabril Cox,2,2,4,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,2,1,1,-,-
Trayvon Mullen,3,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
Mackensie Alexander,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Markquese Bell,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C.J. Goodwin,0,0,0,-,-,-,-,-,-,-,-,3,5,1,-,-,-,-,-,-,-,-,-,-,-,-
Peyton Hendershot,0,0,0,-,-,-,-,-,-,-,-,3,1,-,-,-,3,-,-,-,-,-,-,-,-,-
Matt Overton,0,0,0,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Noah Brown,0,0,0,-,-,-,-,-,-,-,-,2,2,-,-,-,1,-,-,-,-,-,-,-,-,-
Qadree Ollison,0,0,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malik Davis,0,0,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tony Pollard,0,0,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rico Dowdle,0,0,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kavontae Turpin,0,0,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jake Ferguson,0,0,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sean McKeon,0,0,0,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
CeeDee Lamb,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Tyler Biadasz,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-
Terence Steele,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Tyler Smith,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
Ezekiel Elliott,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Dalton Schultz,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Connor McGovern,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Matt Farniok,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
