Rank,Player,Team,Position,Games,No.,Yds,Avg,Long,TD
1,"Jacobs, Josh",LV,RB,17,340,1653,4.9,86,12
2,"Henry, Derrick",TEN,RB,17,349,1538,4.4,56,13
3,"Chubb, Nick",CLV,RB,17,302,1525,5,41,12
4,"Barkley, Saquon",NYG,RB,17,295,1312,4.4,68,10
5,"Sanders, Miles",PHI,RB,17,259,1269,4.9,40,11
6,"Cook, Dalvin",MIN,RB,17,264,1173,4.4,81,8
7,"Fields, Justin",CHI,QB,17,160,1143,7.1,67,8
8,"Etienne, Travis",JAX,RB,17,220,1125,5.1,62,5
9,"Jones, Aaron",GB,RB,17,213,1121,5.3,36,2
10,"Williams, Jamaal",DET,RB,17,262,1066,4.1,58,17
11,"Walker, Kenneth",SEA,RB,17,228,1050,4.6,74,9
12,"Stevenson, Rhamondre",NE,RB,17,210,1040,5,49,5
13,"Allgeier, Tyler",ATL,RB,17,210,1035,4.9,44,3
14,"Harris, Najee",PIT,RB,17,272,1034,3.8,36,7
15,"Pollard, Tony",DAL,RB,17,193,1007,5.2,57,9
16,"Pierce, Dameon",HST,RB,17,220,939,4.3,75,4
17,"Ekeler, Austin",LAC,RB,17,204,915,4.5,72,13
18,"Foreman, D'Onta",CAR,RB,17,203,914,4.5,60,5
19,"Kamara, Alvin",NO,RB,17,223,897,4,27,2
20,"Mostert, Raheem",MIA,RB,17,181,891,4.9,67,3
21,"Elliott, Ezekiel",DAL,RB,17,231,876,3.8,27,12
22,"Taylor, Jonathan",IND,RB,17,192,861,4.5,66,4
23,"Pacheco, Isiah",KC,RB,17,170,830,4.9,31,5
24,"Singletary, Devin",BUF,RB,16,177,819,4.6,33,5
25,"Mixon, Joe",CIN,RB,16,210,814,3.9,40,7
